 * Serving Flask app 'api'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://192.168.50.138:5004
Press CTRL+C to quit
131.123.48.70 - - [15/Apr/2024 13:00:32] "GET / HTTP/1.1" 200 -
131.123.49.212 - - [16/Apr/2024 16:06:16] "GET / HTTP/1.1" 200 -
131.123.49.212 - - [16/Apr/2024 16:06:17] "GET /favicon.ico HTTP/1.1" 404 -
173.90.24.50 - - [16/Apr/2024 23:49:07] code 400, message Bad request version ('\x00\x02\x01\x00\x00+\x00\x07\x06::\x03\x04\x03\x03\x00')
173.90.24.50 - - [16/Apr/2024 23:49:07] "\x16\x03\x01\x02\x00\x01\x00\x01ü\x03\x03åe\x84Å$\x99\x09½Î¬\x833XÉ\x9a³ñnMóX¥ræ\x8d\x0d\x7fAÌTp» ll²¸{0\x9cP~\x96\x11ÎXC\x18\x1d\x96Z\x02µ÷\x80nd¢×B\x15öË\x93ö\x00 êê\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x01\x93**\x00\x00\x00\x0b\x00\x02\x01\x00\x00+\x00\x07\x06::\x03\x04\x03\x03\x00" HTTPStatus.BAD_REQUEST -
173.90.24.50 - - [16/Apr/2024 23:49:07] code 400, message Bad request version ('\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00')
173.90.24.50 - - [16/Apr/2024 23:49:07] "\x16\x03\x01\x02\x00\x01\x00\x01ü\x03\x03nû[\x91\x9c{sîw\x95Ü¿J¨Ê\x8c\x83 \x8dýB\x03\x06ºçëÃ\x1d¾\x82co ®¢_ä\x84,\x1bñ¦çÈs;ò'\x8e¦\x94l\x8e©%¬\x8c°KPµ=\x08+=\x00 êê\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x01\x93\x8a\x8a\x00\x00\x003\x00+\x00)úú\x00\x01\x00\x00\x1d\x00 \x8dÈÿáNÏ\x80áA Öº¾Wå?)yLGî\x8e àÍ.Ð\x8c{:¢!\x00\x17\x00\x00ÿ\x01\x00\x01\x00\x00\x12\x00\x00þ\x0d\x00Ú\x00\x00\x01\x00\x01É\x00 ø\x1d\x8cµ\x81T/rÜ\x1bE\x1e`±|\x8e\x8aÃ\x0b\x16oy×¢\x93[È \x96Àuy\x00°6\x91;Vñð],ã÷peÈ~½9ñÑÓ¡ÊZ\x9a¸\x88Ü\x1bÿ\x0b0c¤Ã\x0dG½3{Y\x199\x11!¦å\x92q)@¹³è?\x0b¶@Lã¤\x85\x1c¤«UxÄpô¬§Ñ\x8e)³Ë+f|ä\x13P°\x01=GØ>¢ù¼1½¼`\x1aY'ü±ãF¦>u\x0c+É%mEao\x8dB\x7fCKÒ6PníO\x94/4\x14\x0bà8Ë^£±©±è\x85-\x0c¿_j¸:\x05Ê­\x19Óu,Áç \x15\x16J[u\x06©Õ\x92\x96¿n+3^ÂÝ\x16_Æô\x00\x0d\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00" HTTPStatus.BAD_REQUEST -
173.90.24.50 - - [16/Apr/2024 23:49:07] "GET / HTTP/1.1" 200 -
173.90.24.50 - - [16/Apr/2024 23:49:07] "GET /favicon.ico HTTP/1.1" 404 -
64.246.133.6 - - [16/Apr/2024 23:49:08] "GET / HTTP/1.1" 200 -
167.206.252.71 - - [16/Apr/2024 23:49:08] "GET / HTTP/1.1" 200 -
